Date,SitNum,Landmark,Bearing,Zone,Reticle,How.Measured,Min,Best,Max,Observer,How.Seen,Cue,Class,Species,Behavior,Demo,Calves,Acoustic,Comment,X,Y,KM,Boundary,Boundary.KM,Effort.Obs,Eff.Scan,Eye.Height
2021-08-28 08:05:10,1472,N/A,171,-0.1,8,Big Eyes,1,1,1,Janie Wray,Eye,Blow,MarMam,Humpback,Active,NA,-1,No,NA,-129.370105872261,53.2294276215158,0.841970654652343,shore,9.97622641591983,1,1,8.01683333333333
2021-08-28 09:00:56,1473,N/A,266,0.9,2,Binocs,2,2,2,Chenoah Shine,Eye,Splash,MarMam,Humpback,Robust,NA,-1,No,NA,-129.383289886977,53.2364304593472,0.748275193561541,shore,7.77190944587737,1,1,8.52106666666667
2021-08-28 14:20:04,1475,Farrant Shore (far),347,3,0.05,Binocs,3,3,3,Grace Baer,Binocs,Blow,MarMam,Humpback,Active,NA,-1,No,NA,-129.388693901726,53.2799605374733,4.91842601121148,shore,6.95849153792611,1,1,6.77333333333333
2021-08-28 17:04:39,1476,Pitt - Mt Dory (medium),316,0.7,5.5,Binocs,4,5,7,Chenoah Shine,Binocs,Body,MarMam,Dall's porpoise,Milling,NA,3,No,NA,-129.374380226591,53.2383235508963,0.220244268654285,horizon,8.88650749179492,1,1,6.20395
2021-08-28 17:07:24,1477,CMP - Bangarangs (medium),224,5.6,4,Big Eyes,2,3,5,Chenoah Shine,BigEyes,Body,MarMam,Dall's porpoise,Milling,NA,-1,No,NA,-129.384290959539,53.2293333994035,1.17054983492883,horizon,8.89069625680089,1,1,6.2098
2021-08-28 17:14:58,1478,Pitt - Mt Dory (far),313,11.4,0.5,Big Eyes,3,4,5,Chenoah Shine,Binocs,Blow,MarMam,Baleen spp.,Active,NA,-1,Can't check now,NA,-129.415082471408,53.2608908494052,3.91616861844418,horizon,8.9086223969132,1,1,6.23486666666667
2021-08-28 18:04:53,1479,Pitt - Union Pass (far),322,9.9,0.25,Big Eyes,5,5,6,Chenoah Shine,BigEyes,Blow,MarMam,Baleen spp.,Active,NA,-1,No,NA,-129.419192583206,53.272979007781,5.09674949190827,horizon,9.12405816030395,1,1,6.54006666666667
2021-08-28 18:11:07,1480,Pitt - Union Pass (far),322,10.4,0.25,Big Eyes,1,1,1,Chenoah Shine,BigEyes,Blow,MarMam,Baleen spp.,Active,NA,-1,No,NA,-129.419423223677,53.2731555997848,5.1217024652465,horizon,9.15885768361966,1,1,6.59005
2021-08-28 18:12:47,1481,Pitt - Mt NicklBunk (medium),284,6.8,2,Binocs,2,4,6,Chenoah Shine,BigEyes,Body,MarMam,Dall's porpoise,Active,NA,1,No,NA,-129.380725419424,53.2381893055937,0.593259795014541,horizon,9.16927525701579,1,1,6.60505
2021-08-28 19:06:45,1482,Pitt - Union Pass (far),320,-0.1,0.2,Big Eyes,1,1,1,Grace Baer,BigEyes,Blow,MarMam,Baleen spp.,Active,NA,-1,No,NA,-129.425860132996,53.2752454918698,5.57258229176064,horizon,9.33911289953344,1,1,6.852
2021-08-28 19:18:51,1483,S Squally (close),155,-0.1,40,Big Eyes,1,1,1,Grace Baer,BigEyes,Body,MarMam,Other,Active,NA,0,Possibly,NA,-129.371032728722,53.2355515828591,0.165579298183528,shore,3.66632258076946,1,1,6.9885
