Date,SitNum,Landmark,Bearing,Zone,Reticle,How.Measured,Min,Best,Max,Observer,How.Seen,Cue,Class,Species,Behavior,Demo,Calves,Acoustic,Comment,X,Y,KM,Boundary,Boundary.KM,Effort.Obs,Eff.Scan,Eye.Height
2021-06-23 08:10:30,58,Fin - North Shore (medium),NA,-0.1,1.33,NA,1,1,1,Ben Hendrix,SpotBox,Body,MarMam,Harbour seal,Milling,2021-06-23 08:07:36,-1,No,NA,NA,NA,NA,NA,NA,1,1,9.0145
2021-06-23 08:20:06,59,N/A,NA,-0.1,-4.73,NA,1,1,1,Eric Keen,BigEyes,Blow,MarMam,Humpback,Active,2021-06-23 08:19:58,-1,Can't check now,NA,NA,NA,NA,NA,NA,1,1,8.847
2021-06-23 08:20:28,60,N/A,NA,-0.1,-4.43,NA,1,1,1,Eric Keen,BigEyes,Blow,MarMam,Humpback,Active,2021-06-23 08:20:13,-1,Can't check now,NA,NA,NA,NA,NA,NA,1,1,8.83966666666667
2021-06-23 08:20:34,61,N/A,NA,-0.1,-2.67,NA,1,1,1,Eric Keen,BigEyes,Blow,MarMam,Humpback,Active,2021-06-23 08:20:31,-1,Can't check now,NA,NA,NA,NA,NA,NA,1,1,8.83766666666667
2021-06-23 08:20:42,62,N/A,NA,-0.1,1.06,NA,1,1,1,Eric Keen,BigEyes,Blow,MarMam,Humpback,Active,2021-06-23 08:20:38,-1,Can't check now,NA,NA,NA,NA,NA,NA,1,1,8.835
2021-06-23 08:20:48,63,N/A,NA,-0.1,1.41,NA,1,1,1,Eric Keen,BigEyes,Blow,MarMam,Humpback,Active,2021-06-23 08:20:46,-1,Can't check now,NA,NA,NA,NA,NA,NA,1,1,8.833
2021-06-23 08:21:37,64,N/A,NA,-0.1,0.49,NA,1,1,1,Eric Keen,BigEyes,Blow,MarMam,Humpback,Active,2021-06-23 08:21:34,-1,Can't check now,NA,NA,NA,NA,NA,NA,1,1,8.81975
2021-06-23 08:21:45,65,N/A,NA,-0.1,-0.94,NA,1,1,1,Eric Keen,BigEyes,Blow,MarMam,Humpback,Active,2021-06-23 08:21:42,-1,Can't check now,NA,NA,NA,NA,NA,NA,1,1,8.81775
2021-06-23 08:21:53,66,N/A,NA,-0.1,-2.82,NA,1,1,1,Eric Keen,BigEyes,Blow,MarMam,Humpback,Active,2021-06-23 08:21:49,-1,Can't check now,NA,NA,NA,NA,NA,NA,1,1,8.81575
2021-06-23 10:18:03,71,N/A,NA,8.4,-1.39,NA,1,1,2,Grace Baer,SpotBox,Body,MarMam,Dall's porpoise,Active,2021-06-23 10:17:59,-1,No,NA,NA,NA,NA,NA,NA,1,1,6.7713
2021-06-23 13:18:11,73,N/A,NA,-0.1,-3.12,NA,1,2,4,Chenoah Shine,SpotBox,Body,MarMam,Dall's porpoise,Milling,2021-06-23 13:16:15,-1,No,NA,NA,NA,NA,NA,NA,1,1,6.45665
