Date,SitNum,Landmark,Bearing,Zone,Reticle,How.Measured,Min,Best,Max,Observer,How.Seen,Cue,Class,Species,Behavior,Demo,Calves,Acoustic,Comment,X,Y,KM,Boundary,Boundary.KM,Effort.Obs,Eff.Scan,Eye.Height
2021-09-12 07:22:20,1693,N/A,350,0.7,8,Binocs,1,1,1,April Howeling,Eye,Body,MarMam,Harbour seal,Active,NA,-1,No,NA,-129.372556039169,53.2385046206079,0.181334371478154,shore,6.81603005810124,1,1,7.35833333333333
2021-09-12 08:09:40,1694,N/A,344,-0.1,8,Big Eyes,1,1,1,Janie Wray,Eye,Blow,MarMam,Humpback,Travel-N,NA,-1,Can't check now,NA,-129.375562920286,53.2441627682904,0.840857792878964,shore,6.78117324644115,1,1,8.12733333333333
2021-09-12 08:10:58,1695,N/A,342,-0.1,4.5,Big Eyes,1,1,1,Janie Wray,Eye,Blow,MarMam,Humpback,Travel-N,NA,-1,Can't check now,NA,-129.378251637274,53.2482620263069,1.32958015338171,shore,6.83826802610134,1,1,8.14163333333333
2021-09-12 09:14:18,1696,N/A,220,-0.1,9.5,Big Eyes,1,1,1,Janie Wray,BigEyes,Body,MarMam,Humpback,Robust,NA,-1,Can't check now,NA,-129.379674325067,53.2314852796376,0.786614055062226,shore,10.1876615625035,1,1,8.7281
2021-09-12 09:20:37,1697,N/A,178,-0.1,22,Big Eyes,1,1,1,Janie Wray,BigEyes,Body,MarMam,Humpback,Travel-E,NA,-1,Can't check now,NA,-129.371888810561,53.2335666413606,0.371198005937397,horizon,10.5677996602029,1,1,8.77355
2021-09-12 12:14:35,1699,N/A,283,-0.1,0.6,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Humpback,Travel-W,NA,-1,Can't check now,NA,-129.437710267598,53.2459500720092,4.48628767935677,shore,9.50387177359095,1,1,8.44816666666667
2021-09-12 12:19:12,1700,N/A,253,-0.1,0.55,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Humpback,Travel-W,NA,-1,Can't check now,NA,-129.437753295213,53.224865523345,4.57403395851657,shore,8.8087171388729,1,1,8.3984
2021-09-12 14:10:12,1702,N/A,219,-0.1,26,Big Eyes,5,5,5,Janie Wray,BigEyes,Body,MarMam,Dall's porpoise,Active,NA,-1,No,NA,-129.374421514395,53.2351718132517,0.247480679259788,horizon,9.29881820942793,1,1,6.793
2021-09-12 14:22:03,1703,N/A,282,-0.1,0.3,Big Eyes,2,2,2,Janie Wray,BigEyes,Blow,MarMam,Humpback,Travel-S,NA,-1,Can't check now,NA,-129.443650780503,53.245983144745,4.87348952739414,horizon,9.18747758690231,1,1,6.6313
2021-09-12 18:06:08,1705,N/A,310,-0.1,4.25,Big Eyes,2,2,2,Janie Wray,BigEyes,Blow,MarMam,Humpback,BubbleNet,NA,-1,Possibly,NA,-129.384715756765,53.2432434486933,1.09840531579565,horizon,8.80702420322308,1,1,6.09346666666667
2021-09-12 18:18:39,1706,N/A,192,-0.1,0.025,Big Eyes,1,1,1,Janie Wray,BigEyes,Blow,MarMam,Humpback,Active,NA,1,No,NA,-129.395085267727,53.1721298089756,7.36910827890727,horizon,8.90046237550822,1,1,6.22345
2021-09-12 19:02:33,1707,Fin- South Shore (close),83,0.2,7,Binocs,2,2,2,April Howeling,Eye,Blow,MarMam,Humpback,BubbleNet,NA,-1,Definitely,NA,-129.370288845723,53.2370318565125,0.120423282354828,shore,0.321690016842657,1,1,6.5737
